City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
610,buluang,PH,88.52,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
611,robertsport,LR,81.43,light rain,6.7533,-11.3686,Kwepunha Retreat
614,raub,MY,86.56,broken clouds,3.7899,101.857,Daniels Guest House Raub
623,tumaco,CO,77.34,light rain,1.7986,-78.8156,Unión Victoria
627,sao jose da coroa grande,BR,76.91,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
628,phalodi,IN,93.24,clear sky,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
634,houston,US,81.0,broken clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
643,pakokku,MM,89.42,clear sky,21.3333,95.1,Royal Palace Motel
644,mansehra,PK,80.11,clear sky,34.3333,73.2,Aashiana Hotel Manshera
645,uthal,PK,87.78,clear sky,25.8072,66.6219,Al-Mustafa Hotel
646,mitsamiouli,KM,77.97,moderate rain,-11.3847,43.2844,Foyer ADM
663,jibuti,DJ,75.6,few clouds,11.5,42.5,Orchid Main Camp Goubet
666,bambous virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
671,gladstone,AU,82.33,scattered clouds,-23.85,151.25,Highpoint International Hotel
675,gonaives,HT,75.79,broken clouds,19.45,-72.6833,Vertières Doux Séjour
677,san policarpo,PH,84.0,broken clouds,12.1791,125.5072,Agapita M. Nicart
678,kapaa,US,82.38,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
687,dunmore town,BS,75.07,clear sky,25.5,-76.65,Coral Sands Hotel
693,salalah,OM,84.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
694,vicksburg,US,78.48,overcast clouds,32.3526,-90.8779,La Quinta Inn & Suites by Wyndham Vicksburg
697,cayenne,GF,81.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
699,mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
702,avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
703,saint george,US,81.19,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
711,key west,US,82.4,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
