City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
332,atuona,PF,-9.8,-139.0333,79.29,75.0,5.0,12.21,clear sky
333,oranjemund,NA,-28.55,16.4333,55.11,73.0,0.0,8.34,clear sky
334,bethel,US,41.3712,-73.414,51.94,55.0,0.0,4.61,clear sky
335,port hedland,AU,-20.3167,118.5667,80.65,47.0,40.0,10.36,scattered clouds
336,provideniya,RU,64.3833,-173.3,33.13,84.0,99.0,13.89,overcast clouds
337,pita,GN,10.8333,-12.5833,74.79,83.0,98.0,0.56,overcast clouds
339,yulara,AU,-25.2406,130.9889,64.24,59.0,100.0,11.5,overcast clouds
340,avera,US,33.194,-82.5271,69.55,61.0,45.0,11.16,scattered clouds
341,walla walla,US,46.0646,-118.343,49.75,91.0,100.0,9.22,moderate rain
342,san quintin,MX,30.4833,-115.95,59.86,85.0,100.0,7.49,overcast clouds
343,syracuse,IT,37.0881,15.2792,58.37,67.0,100.0,8.81,overcast clouds
344,virginia beach,US,36.8529,-75.978,57.22,75.0,75.0,4.61,broken clouds
345,pitsunda,GE,43.1592,40.3378,53.78,93.0,96.0,2.64,overcast clouds
346,berlevag,NO,70.8578,29.0864,24.6,65.0,100.0,19.62,light snow
347,pacific grove,US,36.6177,-121.9166,64.35,83.0,40.0,8.05,scattered clouds
348,isangel,VU,-19.55,169.2667,81.41,81.0,100.0,5.79,overcast clouds
349,yenagoa,NG,4.9247,6.2642,76.06,93.0,59.0,3.38,broken clouds
351,pacasmayo,PE,-7.4006,-79.5714,66.51,86.0,79.0,14.12,broken clouds
352,kuryk,KZ,43.2,51.65,58.69,74.0,37.0,15.86,scattered clouds
353,sao joao da barra,BR,-21.6403,-41.0511,72.12,87.0,21.0,4.03,few clouds
354,ucluelet,CA,48.9329,-125.5528,52.09,83.0,55.0,1.01,broken clouds
355,quatre cocos,MU,-20.2078,57.7625,75.31,84.0,29.0,9.06,scattered clouds
356,wilmington,US,34.2257,-77.9447,69.85,74.0,0.0,10.36,clear sky
357,ambulu,ID,-8.345,113.6058,86.25,65.0,100.0,3.04,overcast clouds
358,vydrino,RU,51.485,104.8461,50.09,65.0,44.0,0.65,scattered clouds
359,aasiaat,GL,68.7098,-52.8699,5.2,95.0,17.0,6.76,few clouds
360,port elizabeth,ZA,-33.918,25.5701,61.09,73.0,0.0,11.5,clear sky
361,loandjili,CG,-4.7561,11.8578,77.11,100.0,20.0,1.14,few clouds
362,ribeira grande,PT,38.5167,-28.7,61.72,86.0,7.0,2.86,clear sky
363,malartic,CA,48.1335,-78.1328,35.71,76.0,40.0,5.35,scattered clouds
364,kungurtug,RU,50.5994,97.5228,60.04,26.0,34.0,0.36,scattered clouds
365,partizanskoye,RU,55.5006,94.39,66.49,41.0,100.0,16.31,overcast clouds
366,cilegon,ID,-6.0174,106.0538,84.0,72.0,100.0,3.22,moderate rain
367,deshnok,IN,27.7986,73.3447,95.04,23.0,0.0,16.26,clear sky
368,lumeje,AO,-11.55,20.7833,57.31,70.0,4.0,5.3,clear sky
369,kruisfontein,ZA,-34.0033,24.7314,52.11,78.0,57.0,6.67,broken clouds
370,clovis,US,36.8252,-119.7029,78.4,40.0,0.0,4.0,clear sky
371,tura,IN,25.5198,90.2201,80.94,63.0,2.0,0.76,clear sky
372,hilo,US,19.7297,-155.09,78.53,81.0,100.0,8.05,overcast clouds
373,northam,GB,51.0333,-4.2167,47.61,92.0,100.0,3.33,moderate rain
374,vila velha,BR,-20.3297,-40.2925,73.35,93.0,75.0,2.3,broken clouds
375,xunchang,CN,28.4543,104.715,53.6,85.0,100.0,4.79,overcast clouds
376,epernay,FR,49.05,3.95,40.28,91.0,51.0,4.68,broken clouds
377,vredendal,ZA,-31.6683,18.5012,55.99,72.0,3.0,4.45,clear sky
378,ahipara,NZ,-35.1667,173.1667,68.72,61.0,12.0,5.03,few clouds
380,kautokeino,NO,69.0125,23.0412,17.13,92.0,99.0,3.56,overcast clouds
381,carnarvon,AU,-24.8667,113.6333,82.47,36.0,0.0,9.22,clear sky
382,kushmurun,KZ,52.4503,64.6311,46.22,65.0,100.0,13.91,overcast clouds
383,aracati,BR,-4.5617,-37.7697,77.16,84.0,87.0,9.84,overcast clouds
384,norman wells,CA,65.282,-126.8329,48.24,46.0,20.0,13.8,few clouds
385,kurilsk,RU,45.2333,147.8833,38.59,66.0,20.0,2.28,few clouds
386,prince rupert,CA,54.3161,-130.3201,55.49,50.0,0.0,2.3,clear sky
387,labuan,MY,5.2767,115.2417,86.36,66.0,20.0,1.14,few clouds
388,bay-khaak,RU,51.1667,94.5,63.12,23.0,8.0,2.28,clear sky
